"","log_index","first_date","username","lat","long","other_other","plastic_plastic_bags","paper_lumber_paper_and_cardboard","paper_lumber_paper_food_wrappers","paper_lumber_paper_bags","cloth_towels_or_rags","cloth_non_rubber_gloves","cloth_clothing_and_shoes","glass_glass_bottle","metal_metal_bottle_caps_or_tabs","metal_aluminum_or_tin_cans","plastic_foam_or_plastic_cups_or_plates","plastic_cigarettes_cigars","plastic_plastic_caps_or_lids","plastic_plastic_bottle","cloth_fabric_pieces","plastic_straws","plastic_plastic_utensils","rubber_rubber_gloves","plastic_plastic_food_wrappers","plastic_tobacco_packaging_or_lighters","non_litter_item_test_item","plastic_plastic_fragments","fishing_gear_plastic_rope_or_net","fishing_gear_non_nylon_rope_or_net","plastic_other_plastic_jugs","plastic_other_plastic","plastic_balloon_and_or_string","fishing_gear_buoys_and_floats","metal_metal_fragments","plastic_foam_fragment","plastic_six_pack_rings","rubber_flip_flops","rubber_rubber_fragments","metal_aerosol_cans","fishing_gear_fishing_lures_and_lines","paper_lumber_lumber_building_materials","plastic_plastic_film","plastic_personal_care_products","rubber_tires","fishing_gear_fishing_line","plastic_condoms","plastic_feminine_hygeine_products","paper_lumber_other_paper","fishing_gear_bait_containers","paper_lumber_paper_cups_plates_napkins","metal_other_metal","plastic_foam_or_plastic_food_containers","paper_lumber_paper_food_box","plastic_mask","non_litter_item_organic_waste","fishing_gear_fishing_net","paper_lumber_pallets","cloth_other_cloth","glass_glass_fragments","metal_gun_shells","glass_glass_jars","rubber_other_rubber","glass_other_fishing_gear","glass_other_glass","mixed_materials_coated_paperboard_container","plastic_plastic_pellet","plastic_plastic_strapping_bands_or_zip_ties","other_fireworks","plastic_wipes","total_items"
"11",48263,2022-02-06,"calpolysurfrider",35.403003672313,-120.86914433539,12,20,21,3,0,0,0,0,2,8,3,4,16,17,4,4,6,2,2,45,0,0,129,6,2,0,5,3,0,2,6,0,0,0,0,2,8,4,0,0,1,0,0,1,0,1,0,4,0,2,3,0,0,0,10,0,0,2,1,1,1,4,2,0,0,369
"12",51179,2022-04-30,"kvakili",35.377148748573,-120.86324730994,2,4,0,0,0,0,0,0,1,2,7,3,21,6,1,0,3,3,0,10,2,0,62,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,31,0,0,0,176
"13",51222,2022-05-02,"kvakili",35.123153651258,-120.63505568985,6,3,19,0,1,0,0,0,0,13,5,3,21,18,5,0,9,4,0,30,2,0,99,0,1,1,7,1,0,0,20,0,0,1,0,0,0,7,0,0,3,0,0,6,1,7,3,0,0,2,1,2,0,1,0,0,0,1,1,31,0,3,0,1,3,342
"14",51580,2022-05-21,"kvakili",35.403474511359,-120.86917645533,3,4,1,0,0,0,0,0,0,0,2,0,8,4,1,0,1,1,0,13,0,0,34,1,0,0,1,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,92
"15",55602,2022-09-25,"kvakili",35.12260166988,-120.63489631209,7,8,28,0,5,0,0,1,4,3,3,4,24,8,8,0,8,2,0,53,1,0,49,0,0,1,1,0,0,3,11,0,0,1,0,0,1,3,6,0,1,1,1,11,0,9,1,0,3,0,2,1,0,0,10,0,0,0,1,0,0,0,1,1,1,287
"16",55603,2022-09-25,"calpolysurfrider",35.121789146857,-120.63502357397,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,47
"17",55609,2022-09-25,"alliemortensen",35.123513908758,-120.63637018249,0,0,0,2,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,3,0,0,7,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26
"18",55611,2022-09-25,"emmabookerdodd",35.122353818437,-120.63451434389,0,1,2,0,0,0,0,0,1,0,2,2,19,2,2,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,63
"19",56023,2022-10-08,"amybekind",35.4038619,-120.8692278,1,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26
"20",56024,2022-10-08,"kvakili",35.403140749888,-120.86910284381,10,4,3,0,0,0,0,0,1,2,2,0,12,10,0,0,5,4,0,13,0,0,261,5,0,2,6,0,0,1,3,0,0,0,0,0,0,4,0,0,1,0,0,3,0,3,4,0,1,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,3,374
"21",58078,2022-12-12,"sistersofthelitterho",35.0736626,-120.6299368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"22",69746,NA,"gaviotacoast",34.470678695805,-120.22791355848,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"23",69748,NA,"gaviotacoast",34.47076576396,-120.22824347019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
