shoreline_site_name,survey_date,transect_id,beach_width_at_transect,transect_width,site_length,slope,substrate,back_barrier_type,num_people_searching_for_debris,debris_search_start_time,debris_search_end_time,debris_removal_transect,consistency_check,transect_photos,transect_notes,total_weight_kg,total_debris_items,total_plastic_items,total_metal_items,total_glass_items,total_rubber_items,total_processed-lumber_items,total_cloth-fabric_items,total_other_items,plastic:fragments-film,plastic:fragments-foamed,plastic:fragments-hard,plastic:bags,plastic:beverage-bottles,plastic:bottle-or-container-caps,plastic:cups,plastic:food-wrappers,plastic:other-jugs-or-containers,plastic:straws,plastic:utensils,plastic:6-pack-rings,plastic:cigar-tips,plastic:cigarettes,plastic:disposable-cigarette-lighters,plastic:buoys-and-floats,plastic:fishing-lures-and-line,plastic:rope-and-nets,plastic:balloons,plastic:personal-care-products,plastic:shotgun-shells-wads,plastic:other,metal:fragments,metal:aerosol-cans,metal:aluminum-tin-cans,metal:other,glass:fragments,glass:beverage-bottles,glass:jars,glass:other,rubber:fragments,rubber:balloons,rubber:flip-flops,rubber:gloves,rubber:tires,rubber:other,processed-lumber:cardboard-cartons,processed-lumber:building-material,processed-lumber:paper-and-cardboard,processed-lumber:bags,processed-lumber:other,cloth-fabric:fragments,cloth-fabric:clothing-and-shoes,cloth-fabric:gloves,cloth-fabric:rope-and-nets,cloth-fabric:towels-rags,cloth-fabric:other,other:other,plastic:other-jugs-or-containers:bait containers/lids,plastic:rope-and-nets:yellow poly rope snippets,plastic:personal-care-products:combs or brushes,plastic:personal-care-products:syringes,plastic:personal-care-products:toothbrushes,plastic:other:crab buoy tag,plastic:other:fireworks,plastic:other:golf balls and tees,plastic:other:hagfish trap/cones,plastic:other:irrigation parts,plastic:other:light sticks,plastic:other:mesh bait bags,plastic:other:oyster spacers,plastic:other:oyster spacers & oyster bags,plastic:other:packing bands,plastic:other:pens & pen caps,plastic:other:plant pot or trays,plastic:other:ribbon,plastic:other:toys,plastic:other:zipties,metal:other:construction material,metal:other:metal bottle caps,metal:other:propane canisters,glass:other:light bulbs,rubber:other:rubber straps,processed-lumber:paper-and-cardboard:fireworks,processed-lumber:other:creosote-treated lumber,cloth-fabric:other:carpet,other:other:asphalt,other:other:brick,other:other:ceramic,other:other:terracota,drain_input,total_survey_duration,weather,trashcans,debris_removal_site,number_of_recreators,team_count,k12_group,first_timers,survey_photos,survey_notes,group,date_of_site_characterization,country,state_province_territory,city_county,site_back_barrier_left_lat,site_back_barrier_left_lon,site_back_barrier_right_lat,site_back_barrier_right_lon,site_waters_edge_left_lat,site_waters_edge_left_lon,site_waters_edge_right_lat,site_waters_edge_right_lon,direction_when_facing_water,access,nearest_river_stream_inlet,nearest_river_dist_km,reason_site_selection,site_photos,site_notes
Percos - North Bend,2023-09-26,70,29.3,5,100,,sand,,2,2:33,2:37,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.446,-120.452,34.446,-120.453,34.446,-120.452,34.446,-120.453,,,,,,,
Percos - Entrance,2023-09-26,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.446,-120.452,34.446,-120.453,34.446,-120.452,34.446,-120.453,,,,,,,
Percos - North,2023-09-26,15,22.6,5,100,knees to shoulders,sand,cliff,2,1:37,1:41,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.448,-120.449,34.448,-120.449,34.448,-120.449,34.448,-120.449,,,,,,,
Percos - North,2023-09-26,20,17.3,5,100,knees to shoulders,sand,cliff,2,1:42,1:45,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.448,-120.449,34.448,-120.449,34.448,-120.449,34.448,-120.449,,,,,,,
Percos - North,2023-09-26,45,25,5,100,knees to shoulders,sand,cliff,2,1:46,1:48,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.448,-120.449,34.448,-120.449,34.448,-120.449,34.448,-120.449,,,,,,,
Percos - North,2023-09-26,70,16.8,5,100,knees to shoulders,sand,cliff,2,1:49,1:52,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.448,-120.449,34.448,-120.449,34.448,-120.449,34.448,-120.449,,,,,,,
Percos - South,2023-09-26,20,30.2,5,100,shoulders and above,sand,cliff,2,2:31,2:40,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4517053,-1204416843,,,,,,,,,
Percos - South,2023-09-26,60,34.8,5,100,shoulders and above,sand,cliff,2,2:21,2:29,,,,,,3,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4517053,-1204416843,,,,,,,,,
Percos - South,2023-09-26,80,21.4,5,100,shoulders and above,sand,cliff,2,2:03,2:19,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4517053,-1204416843,,,,,,,,,
Percos - South,2023-09-26,90,24.5,5,100,shoulders and above,sand,cliff,2,1:53,2:00,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4517053,-1204416843,,,,,,,,,
Little Coho - Entrance,2023-09-27,35,24.4,5,100,knees to shoulders,sand,cliff,2,3:01,3:16,,,,,,,,,,,,,,1,23,2,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.453,-120.418,34.453,-120.418,34.453,-120.418,34.453,-120.418,,,,,,,
Little Coho - Entrance,2023-09-27,40,25.3,5,100,knees to shoulders,sand,cliff,2,3:17,3:23,,,,,,,,,,,,,,,10,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.453,-120.418,34.453,-120.418,34.453,-120.418,34.453,-120.418,,,,,,,4 tires + axel from a car found at shoreline
Little Coho - Entrance,2023-09-27,65,34.5,5,100,knees to shoulders,sand,cliff,2,2:48,3:00,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.453,-120.418,34.453,-120.418,34.453,-120.418,34.453,-120.418,,,,,,,10+ foam fragments <2.5cm
Little Coho - Entrance,2023-09-27,70,34.1,5,100,knees to shoulders,sand,cliff,2,2:33,2:45,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.453,-120.418,34.453,-120.418,34.453,-120.418,34.453,-120.418,,,,,,,Balloon string with attached latex balloon near survey site
Little Coho -South,2023-09-27,20,40.2,5,100,knees to shoulders,sand,cliff,2,1:47,1:50,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.454,-120.416,34.453,-120.416,34.453,-120.416,34.453,-120.416,,,,,,,
Little Coho - South,2023-09-27,60,38.7,5,100,knees to shoulders,sand,cliff,2,1:40,1:44,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.454,-120.416,34.453,-120.416,34.453,-120.416,34.453,-120.416,,,,,,,Standing water at back barrier
Little Coho - South,2023-09-27,70,35.9,5,100,knees to shoulders,sand,cliff,2,1:33,1:36,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.454,-120.416,34.453,-120.416,34.453,-120.416,34.453,-120.416,,,,,,,Standing water at back barrier - width measurements end at standing water
Little Coho - South,2023-09-27,90,34.8,5,100,knees to shoulders,sand,cliff,2,1:26,1:29,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.454,-120.416,34.453,-120.416,34.453,-120.416,34.453,-120.416,,,,,,,
Hollister Ranch - San Augustin,2023-09-23,35,17.2,5,100,knees to shoulders,sand,cliff,2,10:55,11:01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.458,-120.359,34.457,-120.36,34.458,-120.359,34.457,-120.36,,,,,,,"7 plastic ""floss"""
Hollister Ranch - San Augustin,2023-09-23,50,19.7,5,100,knees to shoulders,sand,cliff,2,10:48,10:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.458,-120.359,34.457,-120.36,34.458,-120.359,34.457,-120.36,,,,,,,"2 plastic ""floss"""
Hollister Ranch - San Augustin,2023-09-23,70,18.9,5,100,knees to shoulders,sand,cliff,2,10:41,10:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.458,-120.359,34.457,-120.36,34.458,-120.359,34.457,-120.36,,,,,,,"8 plastic ""floss"""
Hollister Ranch - San Augustin,2023-09-23,75,20.6,5,100,knees to shoulders,sand,cliff,2,10:28,10:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.458,-120.359,34.457,-120.36,34.458,-120.359,34.457,-120.36,,,,,,,"6 plastic ""floss"""
Vandenberg SFB - Minuteman North,2023-10-15,0,,5,100,knees to shoulders,sand,dune,1,4:11,4:14,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.773,-120.51,34.773,-120.51,34.858,-120.61,34.773,-120.51,,,,,,,
Vandenberg SFB - Minuteman North,2023-10-15,45,37.4,5,100,knees to shoulders,sand,dune,1,4:01,4:08,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.773,-120.51,34.773,-120.51,34.858,-120.61,34.773,-120.51,,,,,,,
Vandenberg SFB - Minuteman North,2023-10-15,85,37.8,5,100,knees to shoulders,sand,dune,1,3:56,4:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.773,-120.51,34.773,-120.51,34.858,-120.61,34.773,-120.51,,,,,,,
Vandenberg SFB - Minuteman North,2023-10-15,90,38.6,5,100,knees to shoulders,sand,dune,1,3:47,3:53,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.773,-120.51,34.773,-120.51,34.858,-120.61,34.773,-120.51,,,,,,,
Vandenberg SFB - Minuteman South,2023-10-15,5,36.1,5,100,shoulders and above,sand,dune,1,5:31,5:36,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.855,-120.61,34.855,-120.61,34.853,-120.61,34.853,-120.609,,,,,,,
Vandenberg SFB - Minuteman South,2023-10-15,30,45.1,5,100,shoulders and above,sand,dune,1,5:22,5:30,,,,,,,,,,,,,,,1,1,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.855,-120.61,34.855,-120.61,34.853,-120.61,34.853,-120.609,,,,,,,
Vandenberg SFB - Minuteman South,2023-10-15,60,40.1,5,100,shoulders and above,sand,dune,1,5:12,5:20,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.855,-120.61,34.855,-120.61,34.853,-120.61,34.853,-120.609,,,,,,,1 foam fragment <2.5cm
Vandenberg SFB - Minuteman South,2023-10-15,65,39.3,5,100,shoulders and above,sand,dune,1,5:02,5:11,,,,,,,,,,,,,,2,1,5,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.855,-120.61,34.855,-120.61,34.853,-120.61,34.853,-120.609,,,,,,,2 foam fragments <2.5cm
Vandenberg SFB - Wall Beach,2023-08-18,n/a,,,,knees and below,sand,cliff,3,,,,,,,0,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.708,-120.601,34.708,-120.601,34.708,-120.601,34.708,-120.601,,,,,,,rusty tire in back barrier
Vandenberg SFB - Honda Point,2023-09-12,40,74.7,5,100,knees and below,sand,other,2,,,,,,,3.485,,,,,,,,,1,8,12,,,3,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.608,-120.637,34.608,-120.637,34.609,-120.637,34.608,-120.637,,,,,,,6 plastic fragments <2.5cm
Vandenberg SFB - Honda Point,2023-09-12,60,60,5,100,knees and below,sand,other,2,,,,,,,,,,,,,,,,,,9,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.608,-120.637,34.608,-120.637,34.609,-120.637,34.608,-120.637,,,,,,,6 plastic fragments <2.5cm
Vandenberg SFB - Honda Point,2023-09-12,75,,5,100,knees and below,sand,other,2,,,,,,,,,,,,,,,,1,,10,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.608,-120.637,34.608,-120.637,34.609,-120.637,34.608,-120.637,,,,,,,1 plastic fragment <2.5cm
Vandenberg SFB - Honda Point,2023-09-12,90,,5,100,knees and below,sand,other,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.608,-120.637,34.608,-120.637,34.609,-120.637,34.608,-120.637,,,,,,,
Dangermond North Beach,2023-10-27,25,61,5,100,shoulders and above,sand,cliff,2,15:26,15:33,all,yes,,,,4,4,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.468249,-120.4739945,34.4678488,-120.4737638,34.4684774,-120.4746962,34.467814,-120.4745809,southwest,no parking lot,,stream outlet 15 minutes down beach ,,,
Dangermond North Beach,2023-10-27,35,58,5,100,shoulders and above,asnd,cliff,2,15:38,15:44,all,yes,,,,4,4,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.468249,-120.4739945,34.4678488,-120.4737638,34.4684774,-120.4746962,34.467814,-120.4745809,,,,,,,
Dangermond North Beach,2023-10-27,45,58,5,100,shoulders and above,sand,cliff,2,15:45,15:50,all,yes,,,,4,3,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.468249,-120.4739945,34.4678488,-120.4737638,34.4684774,-120.4746962,34.467814,-120.4745809,,,,,,,
Dangermond North Beach,2023-10-27,65,58,5,100,shoulders and above,sand,cliff,2,15:51,15:57,all,yes,,,,9,9,,,,,,,1,1,2,,2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.468249,-120.4739945,34.4678488,-120.4737638,34.4684774,-120.4746962,34.467814,-120.4745809,,,,,,,
Dangermond North Beach,2023-10-27,5,54,5,100,knees to shoulders,,cliff,2,14:08,14:20,most,yes,,,,4,4,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.461517,-120.4732435,34.4606097,-120.4731533,34.4615128,-120.4736656,34.4605873,-120.4737424,southwest,no parking lot,,stream outlet 3 minutes down beach ,,,
Dangermond North Beach,2023-10-27,30,52.6,5,100,shoulders and above,,cliff,2,14:23,14:31,all,yes,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.461517,-120.4732435,34.4606097,-120.4731533,34.4615128,-120.4736656,34.4605873,-120.4737424,,,,,,,
Dangermond North Beach,2023-10-27,60,50.8,5,100,shoulders and above,,cliff,2,14:33,14:42,all,yes,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.461517,-120.4732435,34.4606097,-120.4731533,34.4615128,-120.4736656,34.4605873,-120.4737424,,,,,,,
Dangermond North Beach,2023-10-27,65,50.7,5,100,shoulders and above,,cliff,2,14:46,14:52,all,yes,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,no,,,2,no,1,,,,,,,,34.461517,-120.4732435,34.4606097,-120.4731533,34.4615128,-120.4736656,34.4605873,-120.4737424,,,,,,,
